ID,Titolo,Tipo,Descrizione,Data
VID_001,La tragica miniera belga,Cinegiornale,Cinegiornale della Settimana InCom che racconta al pubblico italiano gli eventi successivi al disastro di Marcinelle,1956
VID_002,Telegiornale dell' 8/8/1956 (Catastrofe di Marcinelle),Videoclip,"Sequenze di RTBF che mostrano i momenti successivi alla tragedia, comprendono anche un'intervista a un minatore",1956
VID_003,Telegiornale (Catastrofe di Bois du Cazier),Videoclip,Filmato contenete interviste effettuate da RTBF la notte dell'8 agosto 1956,1956
VID_004,Inaugurazione del monumento ai minatori caduti a Marcinelle,Cinegiornale,Cinegiornale riportante notizie da tutto il mondo: Sezione 1 riguardante la commemorazione del primo anniversario della strage di Marcinelle,1957
PIC_001,Fumi in fuoriuscita dai pozzi di risalita d'aria,Foto,Immagine del giorno del disastro che mostra il fumo fuoriuscente dai pozzi incendiati,1956
PIC_002,Entrata della miniera di carbone,Foto,"Immagine della via d'ingresso al pozzo di Bois du Cazier la mattina del disastro, con la folla che accorre verso la miniera circondata dal fumo",1956
PIC_003,Minatori trasportano la bara di Alphonse Godart dopo il suo funerale a Pironchamps,Foto,"Immagine proveniente dal funerale di Alphonse Godart, una delle vittime belghe del disastro, in cui i suoi colleghi, in uniforme da lavoro, trasportano la bara",1956
MEM_001,"Bois du Cazier, luogo di memoria",Dipinto,Dipinto ad olio di stile astratto rappresentante il pozzo di Bois du Cazier ,2016
MEM_002,Minatore trasporta il corpo di un collega morto,Scultura,Statua realista rappresentante un minatore con in braccio un collega che appare morente,2010
DOC_001,Centrale di salvataggio di Marcinelle. Istruzioni di salvataggio in caso di incidente grave,Documento,"Documento d'emergenza che indica ai minatori come comportarsi in caso di incidente su posto di lavoro, oggi parte di un'esposizione museale",1917-1936
JOU_001,"""270 minatori sepolti vivi nel Belgio 139 sono italiani""",Giornale,Edizione del  9 agosto dell'unità riportante le prime notizie del disastro giunte dal Belgio il giorno precedente,1956
JOU_002,Più di 250 minatori restano bloccati dal fuoco nel pozzo del Cazier,Giornale,Edizione del 9 agosto del quotidiano belga Le Soir riportante le prime notizie sul disastro,1956
,,,,
,,,,
,,,,
,,,,
,,,,
